epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,26772.3,1.23372,1.35445,1.29897,0.612,0.38166,0.4243,0.28953,1.21495,1.35914,1.2907,0.003004,0.003004,0.003004
108,27008.7,1.24096,1.35549,1.30065,0.66054,0.36077,0.42101,0.28573,1.21736,1.34847,1.29309,0.002938,0.002938,0.002938
109,27246.4,1.23625,1.32849,1.30578,0.66006,0.36982,0.42398,0.29002,1.21522,1.35391,1.29117,0.002872,0.002872,0.002872
110,27484.3,1.24447,1.33151,1.3022,0.64212,0.36489,0.42172,0.28762,1.2097,1.36208,1.28452,0.002806,0.002806,0.002806
111,27719.9,1.23392,1.32699,1.30307,0.65013,0.36686,0.42422,0.29045,1.20491,1.36114,1.28649,0.00274,0.00274,0.00274
112,27956.7,1.22774,1.339,1.29123,0.67707,0.35108,0.42459,0.28781,1.21116,1.33688,1.29624,0.002674,0.002674,0.002674
113,28194.2,1.2327,1.33017,1.29851,0.56525,0.38082,0.41071,0.28154,1.19497,1.3624,1.2918,0.002608,0.002608,0.002608
114,28430.8,1.22407,1.3037,1.2912,0.59301,0.37968,0.42114,0.29157,1.19651,1.34344,1.28464,0.002542,0.002542,0.002542
115,28667.9,1.23053,1.31352,1.2961,0.66589,0.35404,0.41356,0.28923,1.19371,1.34376,1.28636,0.002476,0.002476,0.002476
116,28904.7,1.21232,1.29916,1.2787,0.65318,0.35475,0.41559,0.291,1.18995,1.34116,1.28158,0.00241,0.00241,0.00241
117,29141.5,1.20598,1.29895,1.28167,0.60569,0.3878,0.4245,0.29346,1.18452,1.32255,1.27791,0.002344,0.002344,0.002344
118,29377,1.19162,1.28158,1.26962,0.57263,0.37968,0.42622,0.29138,1.19356,1.32181,1.28756,0.002278,0.002278,0.002278
119,29614.1,1.20043,1.28804,1.26259,0.64658,0.36588,0.42865,0.2942,1.19183,1.31962,1.28684,0.002212,0.002212,0.002212
120,29853.4,1.20621,1.28359,1.27714,0.6068,0.38856,0.42995,0.29727,1.18539,1.30418,1.28514,0.002146,0.002146,0.002146
121,30093.8,1.20063,1.26912,1.27537,0.59461,0.38955,0.43507,0.30086,1.18485,1.31286,1.28451,0.00208,0.00208,0.00208
122,30332.6,1.20051,1.29567,1.28024,0.61569,0.3787,0.43187,0.29785,1.18736,1.31013,1.29067,0.002014,0.002014,0.002014
123,30571.3,1.19001,1.27254,1.26852,0.59325,0.3856,0.42944,0.29505,1.19304,1.31784,1.28888,0.001948,0.001948,0.001948
124,30808.7,1.18833,1.26276,1.26902,0.62534,0.36982,0.42796,0.29454,1.19593,1.34229,1.28836,0.001882,0.001882,0.001882
125,31045,1.19144,1.26802,1.26095,0.62175,0.3856,0.4382,0.30482,1.18169,1.2942,1.27953,0.001816,0.001816,0.001816
126,31283.6,1.18585,1.24508,1.26297,0.62992,0.3856,0.43627,0.30049,1.17387,1.29366,1.27453,0.00175,0.00175,0.00175
127,31523.2,1.17885,1.26385,1.25483,0.63879,0.37323,0.43511,0.30066,1.17412,1.30166,1.27447,0.001684,0.001684,0.001684
128,31763,1.18452,1.24477,1.26063,0.57538,0.39546,0.43692,0.30489,1.16204,1.2786,1.26513,0.001618,0.001618,0.001618
129,31998.8,1.17004,1.26263,1.25613,0.57476,0.40039,0.43579,0.30568,1.16486,1.28748,1.26778,0.001552,0.001552,0.001552
130,32236.8,1.17041,1.21963,1.2536,0.63312,0.3925,0.44341,0.30645,1.16493,1.27546,1.2714,0.001486,0.001486,0.001486
131,32473.8,1.17953,1.25828,1.25525,0.65019,0.38462,0.44483,0.30818,1.16285,1.27296,1.27097,0.00142,0.00142,0.00142
132,32713.2,1.16319,1.22592,1.25088,0.64749,0.3856,0.44602,0.30912,1.16316,1.27345,1.26814,0.001354,0.001354,0.001354
133,32950.2,1.15425,1.20983,1.24172,0.64886,0.3856,0.44309,0.30547,1.16132,1.27855,1.27117,0.001288,0.001288,0.001288
134,33185.9,1.16485,1.20809,1.25168,0.63786,0.38736,0.44091,0.30349,1.16336,1.28344,1.27522,0.001222,0.001222,0.001222
135,33423,1.17007,1.227,1.25052,0.61647,0.39349,0.44214,0.30437,1.15769,1.28503,1.26572,0.001156,0.001156,0.001156
136,33661.2,1.15664,1.22109,1.24842,0.63057,0.39152,0.44442,0.30624,1.1626,1.27811,1.26261,0.00109,0.00109,0.00109
137,33897.6,1.15443,1.22693,1.24908,0.67663,0.37377,0.44087,0.30256,1.15627,1.29004,1.25952,0.001024,0.001024,0.001024
