epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,10474,0.94194,0.85029,1.06267,0.67276,0.47645,0.52785,0.38436,0.99653,1.07261,1.12847,0.0009704,0.0009704,0.0009704
80,10605.4,0.94241,0.85078,1.06312,0.74537,0.44745,0.52247,0.3851,0.97393,1.09105,1.10946,0.0009572,0.0009572,0.0009572
81,10736.9,0.95823,0.85546,1.07166,0.74104,0.42702,0.51778,0.38091,0.99988,1.08445,1.13239,0.000944,0.000944,0.000944
82,10868.5,0.92742,0.82648,1.06412,0.71453,0.45266,0.51445,0.37725,0.9972,1.09667,1.12811,0.0009308,0.0009308,0.0009308
83,11000,0.93687,0.84089,1.06103,0.73448,0.43688,0.51656,0.38232,0.98783,1.09114,1.13211,0.0009176,0.0009176,0.0009176
84,11131.5,0.94823,0.84304,1.05808,0.70229,0.45597,0.52181,0.38614,0.95958,1.09722,1.09804,0.0009044,0.0009044,0.0009044
85,11262.9,0.94363,0.82935,1.05965,0.64309,0.49606,0.53172,0.38905,0.96382,1.08067,1.11148,0.0008912,0.0008912,0.0008912
86,11399.1,0.93013,0.83237,1.05725,0.69652,0.46174,0.52292,0.38425,0.95961,1.10098,1.10854,0.000878,0.000878,0.000878
87,11531.8,0.93401,0.81693,1.0546,0.7272,0.46055,0.53194,0.3873,0.97035,1.07715,1.10333,0.0008648,0.0008648,0.0008648
88,11663.2,0.91939,0.80704,1.04825,0.64273,0.48028,0.52215,0.38668,0.97712,1.07524,1.11816,0.0008516,0.0008516,0.0008516
89,11794.9,0.92513,0.80867,1.05021,0.72239,0.45464,0.52285,0.38034,0.99267,1.09523,1.12893,0.0008384,0.0008384,0.0008384
90,11926.5,0.91889,0.80492,1.04631,0.69952,0.46605,0.52593,0.38552,0.97141,1.07592,1.1045,0.0008252,0.0008252,0.0008252
91,12058,0.90906,0.79665,1.04437,0.74662,0.45043,0.53006,0.39464,0.96118,1.04502,1.10174,0.000812,0.000812,0.000812
92,12190.1,0.94002,0.81093,1.0543,0.73517,0.4359,0.51307,0.38089,0.97026,1.09131,1.10875,0.0007988,0.0007988,0.0007988
93,12321.6,0.92779,0.78974,1.05909,0.68226,0.46375,0.52086,0.38331,0.96575,1.09051,1.09845,0.0007856,0.0007856,0.0007856
94,12453.5,0.90072,0.78275,1.0351,0.65243,0.48422,0.52696,0.38868,0.97271,1.05973,1.11447,0.0007724,0.0007724,0.0007724
95,12585.7,0.90296,0.78828,1.04097,0.68161,0.46943,0.52585,0.38691,0.97432,1.07836,1.11442,0.0007592,0.0007592,0.0007592
96,12717.1,0.90142,0.77894,1.04424,0.67652,0.47041,0.52143,0.38598,0.96989,1.06646,1.11496,0.000746,0.000746,0.000746
97,12848.8,0.9019,0.76438,1.03558,0.7038,0.45562,0.51983,0.38585,0.96208,1.06565,1.10783,0.0007328,0.0007328,0.0007328
98,12980.3,0.90826,0.77183,1.03773,0.68726,0.46154,0.52457,0.38629,0.9727,1.059,1.12043,0.0007196,0.0007196,0.0007196
99,13111.7,0.90515,0.75967,1.03486,0.75136,0.4359,0.52544,0.38842,0.96927,1.07814,1.11174,0.0007064,0.0007064,0.0007064
100,13243,0.91031,0.75364,1.0422,0.73604,0.46198,0.52962,0.39057,0.95323,1.05602,1.09584,0.0006932,0.0006932,0.0006932
101,13374.7,0.89372,0.75482,1.02908,0.67835,0.47633,0.52892,0.39373,0.94752,1.03528,1.09516,0.00068,0.00068,0.00068
102,13506.3,0.89068,0.74196,1.02885,0.67303,0.4783,0.52356,0.38515,0.95292,1.07397,1.10477,0.0006668,0.0006668,0.0006668
103,13638.4,0.90666,0.75412,1.03352,0.71543,0.45957,0.52418,0.38364,0.96347,1.06656,1.10043,0.0006536,0.0006536,0.0006536
104,13770,0.88966,0.74315,1.02414,0.71935,0.44742,0.52103,0.38745,0.95443,1.05762,1.10291,0.0006404,0.0006404,0.0006404
105,13902,0.8979,0.74763,1.02998,0.71718,0.46154,0.52406,0.38727,0.95508,1.05702,1.10387,0.0006272,0.0006272,0.0006272
106,14038.7,0.8816,0.72545,1.02101,0.72855,0.46943,0.52859,0.38896,0.97056,1.06628,1.11819,0.000614,0.000614,0.000614
107,14170,0.89122,0.7236,1.02615,0.6934,0.47041,0.52776,0.38404,0.98085,1.0583,1.11957,0.0006008,0.0006008,0.0006008
108,14301.2,0.88276,0.72576,1.01771,0.68743,0.47933,0.53032,0.3924,0.95676,1.06399,1.09692,0.0005876,0.0005876,0.0005876
109,14432.8,0.87874,0.71316,1.02096,0.67757,0.47337,0.52783,0.39353,0.9618,1.06203,1.10698,0.0005744,0.0005744,0.0005744
110,14564.4,0.88541,0.7003,1.02285,0.69081,0.47373,0.53049,0.39342,0.94959,1.05325,1.10476,0.0005612,0.0005612,0.0005612
111,14695.8,0.8709,0.69939,1.01884,0.68515,0.47535,0.53167,0.39196,0.94855,1.04584,1.10511,0.000548,0.000548,0.000548
112,14827.4,0.86228,0.6857,1.01762,0.6914,0.45958,0.5261,0.3865,0.94317,1.07777,1.09756,0.0005348,0.0005348,0.0005348
113,14959,0.88091,0.7108,1.01932,0.68869,0.47996,0.53682,0.39373,0.95516,1.05451,1.11302,0.0005216,0.0005216,0.0005216
114,15090.6,0.86339,0.68569,1.02067,0.73434,0.45759,0.53406,0.39691,0.95352,1.06066,1.10272,0.0005084,0.0005084,0.0005084
